sample_id,timestamp_utc,trigger_reason,timestamp,distanceFromHome,speedInMetersPerSecond30s,speedInMetersPerSecond2m,speedInMetersPerSecond10m,distanceDelta2m,distanceDelta10m,rollingSpeedStd10m,zoneOneHotHome,zoneOneHotNotHome,zoneOneHotWork,zoneOneHotGym,cameFromWork,cameFromGym,movingTowardHome,accelerationMetersPerSecondSquared,etaToHomeSeconds,isWeekend,hourOfDaySin,hourOfDayCos,dayOfWeekSin,dayOfWeekCos,speedHistoryPointCount,speedInMetersPerSecond,hasEventNow,minutesUntilNextEventStart,minutesUntilCurrentEventEnd,currentEventDurationMinutes,nextEventDurationMinutes,busyMinutesNext60m,busyMinutesNext120m,freeBlockMinutesBeforeNextEvent,eventCountNext2h,hasBackToBackEventsNext2h,calendarBusyRatioNext2h,hasAllDayEventToday,isWorkHoursCalendarBusy
3517d8ea-49b3-44bc-bdef-89bd7a40c483,2026-02-18T19:09:19.309Z,startup,1771441759195,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,831,111,120,480,60,111,831,1,0,0.925,0,0
c44a47a8-42ae-4f21-b418-197d5ebe4112,2026-02-18T19:09:33.337Z,startup,1771441773240,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,830,110,120,480,60,110,830,1,0,0.9166666666666666,0,0
85a310b5-57d6-4680-9763-2e50a9a209a8,2026-02-18T19:26:25.259Z,startup,1771442785144,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,814,94,120,480,60,94,0,1,0,0.7833333333333333,0,0
df0b109f-5401-4504-8d87-8a3bf40a9b42,2026-02-18T19:27:22.422Z,startup,1771442842313,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,813,93,120,480,60,93,0,1,0,0.775,0,0
b5733fb0-7ef0-45d9-bd40-ad327497dee7,2026-02-18T19:28:01.404Z,startup,1771442881261,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,812,92,120,480,60,92,0,1,0,0.7666666666666667,0,0
79c02d01-3885-4a17-9a44-caed34ded0bd,2026-02-18T19:30:04.866Z,startup,1771443004680,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,810,90,120,480,60,90,0,1,0,0.75,0,0
d643c019-6861-411f-8544-45498d57528c,2026-02-18T19:33:58.463Z,startup,1771443238332,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,806,86,120,480,60,86,0,1,0,0.7166666666666667,0,0
f91c0ab8-6307-4a48-b266-c97317d34ef5,2026-02-18T19:35:38.857Z,startup,1771443338754,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,804,84,120,480,60,84,0,1,0,0.7,0,0
c9c5379e-37ec-49c3-ba9c-807ab9ddaded,2026-02-18T19:39:55.496Z,startup,1771443595399,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,800,80,120,480,60,80,0,1,0,0.6666666666666666,0,0
022a83b6-6b20-4f86-9900-7971e92e5768,2026-02-18T19:41:09.787Z,startup,1771443669670,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,799,79,120,480,60,79,0,1,0,0.6583333333333333,0,0
